Version,GDH,GITC,Na Cit (pH 5.00),Na Cit (pH 5.50),Na Cit (pH 6.11),Na Cit (pH 6.50),Na Cit (pH 8.5),Na Cit (pH 11),Na Cit (pH 11.5),EDTA,IGEPAL,SDS 20%,IPA,Water,NaI 6M,NaI 8M,NaI 8M + thiosulfate,NaI 9M,NaI 10M,LiCl,CaCl2,PEG 8000,PEG 6000,PEG 3350,PEG 1000,PEG 400,TCEP,Phosphate Citrate 0.2M pH 7.8,Phosphate Citrate 0.2M pH 10,Bead Number,Bead Quantity,CTAB 10%,Citric Acid,Phosphate Citrate 1M pH 5,Phosphate Citrate 1M pH 7.8,Phosphate Citrate 1M pH 9,Phosphate Citrate 1M pH 10,NaCl 5M,sodium sulfite (g),sodium acetate 3M,Ammonium Sulfate 8M,Ammonium Sulfate 1M,Ammonium Chloride 4M,Magnesium Chloride 2mM,CDTA 0.5M pH 7
V0 (Galenvs Standard),3.75,0,0,0,0.25,0,0,0,0,0.2,0.125,0.375,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V1,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V2,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,5,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V4,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V5,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,2.5,2.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V6,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,5,0.25,0,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V7,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,4.5,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V8,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,4.5,0,0.25,0,0,0.75,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V9,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,4.5,0,0.75,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V10,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,5,0,0.25,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V11,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,4.67,0,0,0,0,0.83,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V12,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,5,0.25,0.25,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V13,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,4.75,0,0.75,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V14,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,4.5,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V15,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,4.5,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V16,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,4.5,0,0.75,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V17,3.75,0,0,0,0.25,0,0,0,0,0,0,0,0.125,0.375,0,0,0,0,0,4.5,0,0.5,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
