date,author,lysis,lysis_temp,beads,bead_conc_mg_ml,wash1,wash2,elution,elution_temp,sample_type,sample_name,sample_volume,concentration,bead_beating,pretreatment_buffer,pretreatment_heating,target_type,target_name,cq,standard,unique_id
6/21/2021,Fred,v90_4w36,,CS25,30,BW1_T1,w2,h2o,,Blood,,200,30,,,,DNA,pre-gapdh,23.31,FALSE,Data_00001_21062021
6/21/2021,Fred,v90_4w36,,CS25,30,BW1_T1,w2,h2o,,Blood,,200,30,,,,DNA,pre-gapdh,23.94,FALSE,Data_00002_21062021
6/21/2021,Fred,v90_4w36,,AP75,30,BW1_T1,w2,h2o,,Blood,,200,30,,,,DNA,pre-gapdh,23.77,FALSE,Data_00003_21062021
6/21/2021,Fred,v90_4w36,,AP75,30,BW1_T1,w2,h2o,,Blood,,200,30,,,,DNA,pre-gapdh,23.74,FALSE,Data_00004_21062021
6/21/2021,Fred,v90_4w36,,1:2 0504:CS25,30,BW1_T1,w2,h2o,,Blood,,200,30,,,,DNA,pre-gapdh,23.77,TRUE,Data_00005_21062021
6/21/2021,Fred,v90_4w36,,1:2 0504:CS25,30,BW1_T1,w2,h2o,,Blood,,200,30,,,,DNA,pre-gapdh,23.83,TRUE,Data_00006_21062021
6/21/2021,Fred,v61,,200-OH,30,BW1_T1,w2,h2o,,Blood,,200,30,,,,DNA,pre-gapdh,24.2,FALSE,Data_00007_21062021
6/21/2021,Fred,v61,,200-OH,30,BW1_T1,w2,h2o,,Blood,,200,30,,,,DNA,pre-gapdh,24.09,FALSE,Data_00008_21062021
6/21/2021,Fred,v90_4w36,,2:3 0504:CS25,30,BW1_T1,w2,h2o,,Blood +Asuragen 10^4,,200,30,,,,RNA,E GENE,27.05,TRUE,Data_00009_21062021
6/21/2021,Fred,v90_4w36,,2:3 0504:CS25,30,BW1_T1,w2,h2o,,Blood +Asuragen 10^4,,200,30,,,,RNA,E GENE,27.25,TRUE,Data_00010_21062021
6/21/2021,Fred,v90_4w36,,CS25,30,BW1_T1,w2,h2o,,Blood +Asuragen 10^4,,200,30,,,,RNA,E GENE,27.72,FALSE,Data_00011_21062021
6/21/2021,Fred,v90_4w36,,CS25,30,BW1_T1,w2,h2o,,Blood +Asuragen 10^4,,200,30,,,,RNA,E GENE,27.6,FALSE,Data_00012_21062021
6/21/2021,Fred,v90_4w36,,1:2 0504:CS25,30,BW1_T1,w2,h2o,,Blood +Asuragen 10^4,,200,30,,,,RNA,E GENE,27.82,FALSE,Data_00013_21062021
6/21/2021,Fred,v90_4w36,,1:2 0504:CS25,30,BW1_T1,w2,h2o,,Blood +Asuragen 10^4,,200,30,,,,RNA,E GENE,27.76,FALSE,Data_00014_21062021
6/21/2021,Fred,v90_4w36,,AP75,30,BW1_T1,w2,h2o,,Blood +Asuragen 10^4,,200,30,,,,RNA,E GENE,28.49,FALSE,Data_00015_21062021
6/21/2021,Fred,v90_4w36,,AP75,30,BW1_T1,w2,h2o,,Blood +Asuragen 10^4,,200,30,,,,RNA,E GENE,28.8,FALSE,Data_00016_21062021
