contig_id	contig_srt	contig_end	region_id	attributes	gc_count	overlaps	fwd_e2e	rev_e2e	total_reads	fwd_reads	rev_reads	cov150x	cov500x	cov2500x
chr17	30237134	30237368	AMPL3925991	SUBMITTED_REGION=rs25531;Pool=2	169	0	0	0	0	0	0	0	0	0
chr6	31453616	31453837	AMPL3926313	SUBMITTED_REGION=rs144027808;Pool=2	67	0	0	0	0	0	0	0	0	0
chr19	40848933	40849146	AMPL3926093	SUBMITTED_REGION=rs114114578;Pool=1	101	34	0	0	42	11	31	0	0	0
chr6	31414341	31414576	AMPL3926201	SUBMITTED_REGION=rs188729361;Pool=1	154	91	28	16	83	48	35	0	0	0
chr22	42129523	42129760	AMPL3926426	SUBMITTED_REGION=CYP2D6cnv44.4.64739,Hs04083572_cn,SP_815.4.124704;Pool=1	160	10509	16	32	180	140	40	147	29	25
chr22	42628117	42628271	AMPL3926510	SUBMITTED_REGION=rs121965006,rs121965008,rs200872504;Pool=1	90	239	88	95	239	130	109	155	0	0
chr19	40940308	40940529	AMPL3926248	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	112	4874	18	158	338	80	258	221	16	4
chr6	18139546	18139757	AMPL3925990	SUBMITTED_REGION=rs12201199,rs200220210;Pool=1	79	346	6	28	346	98	248	116	0	0
chr6	31448662	31448790	AMPL3925968	SUBMITTED_REGION=rs143527370;Pool=2	31	451	225	183	451	260	191	129	0	0
chr15	74745797	74746018	AMPL2649381	SUBMITTED_REGION=rs2069514;Pool=1	109	528	60	136	528	69	459	222	63	0
chr10	94965750	94965820	AMPL3547871	SUBMITTED_REGION=rs4917639;Pool=2	21	595	282	278	595	316	279	71	71	0
chr6	31313669	31313859	AMPL3698522	SUBMITTED_REGION=rs10484555;Pool=2	52	600	262	308	600	270	330	191	191	0
chr10	114045267	114045502	AMPL3091682	SUBMITTED_REGION=rs1801253;Pool=2	190	617	23	90	617	335	282	236	0	0
chr11	108412307	108412528	AMPL3922006	SUBMITTED_REGION=rs11212617;Pool=1	66	624	430	50	624	490	134	222	219	0
chr6	31302124	31302331	AMPL3926172	SUBMITTED_REGION=rs12211087;Pool=2	59	758	341	81	758	440	318	208	206	0
chr22	42142408	42142646	AMPL3926095	SUBMITTED_REGION=SP_47.3.229121;Pool=2	162	10347	29	13	802	245	557	94	84	70
chr19	41004065	41004301	AMPL3926466	SUBMITTED_REGION=2B6Ex2F;Pool=2	142	24984	348	2	833	577	256	237	235	50
chr12	21174760	21174977	AMPL3926354	SUBMITTED_REGION=rs4149036;Pool=1	56	870	415	369	870	479	391	218	218	0
chr6	31415731	31415942	AMPL3926476	SUBMITTED_REGION=rs115841246;Pool=2	115	925	375	397	925	491	434	212	212	0
chr6	31267268	31267385	AMPL3926517	SUBMITTED_REGION=rs371096447;Pool=2	51	954	432	420	954	505	449	118	118	0
chr3	165773418	165773641	AMPL3219749	SUBMITTED_REGION=rs1803274;Pool=2	63	967	384	501	967	415	552	224	224	0
chr6	31449951	31450164	AMPL3926349	SUBMITTED_REGION=rs2523694;Pool=1	61	1055	679	250	1055	713	342	214	214	0
chr19	40949476	40949666	AMPL3925912	SUBMITTED_REGION=2B7Ex9F;Pool=2	103	2233	313	463	1110	536	574	191	191	0
chr1	97691707	97691927	AMPL2654412	SUBMITTED_REGION=rs1801266;Pool=2	73	1171	298	579	1171	522	649	221	221	0
chr11	64535426	64535576	AMPL3547755	SUBMITTED_REGION=rs11231809;Pool=2	59	1279	541	658	1279	585	694	151	151	0
chr19	41008039	41008229	AMPL3926088	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	60	6995	458	100	1294	539	755	191	191	36
chr19	41008704	41008870	AMPL3926091	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	55	9355	582	389	1327	871	456	167	167	113
chr6	29920884	29921094	AMPL3926277	SUBMITTED_REGION=rs138415245;Pool=2	76	1363	431	666	1363	635	728	211	211	0
chr10	94947690	94947896	AMPL3926579	SUBMITTED_REGION=rs72558190,rs774550549;Pool=1	62	6179	627	500	1453	839	614	207	207	39
chr19	40940091	40940308	AMPL3926386	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=2	61	1735	6	1	1507	648	859	218	215	0
chr6	31207057	31207261	AMPL3926668	SUBMITTED_REGION=rs185386680;Pool=2	83	1507	25	0	1507	1495	12	64	54	0
chr19	41007427	41007642	AMPL3926470	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	102	5206	1	703	1531	13	1518	216	216	25
chr4	87845025	87845247	AMPL3926503	SUBMITTED_REGION=rs753138805;Pool=2	74	1560	25	1379	1560	119	1441	223	223	0
chr10	59672789	59673009	AMPL3926295	SUBMITTED_REGION=rs550527563;Pool=2	82	1584	1388	37	1584	1532	52	221	221	0
chr7	117611445	117611622	AMPL3925914	SUBMITTED_REGION=rs150212784,rs397508513;Pool=1	49	8730	760	696	1667	843	824	178	177	47
chr6	30051362	30051574	AMPL3925987	SUBMITTED_REGION=rs259945;Pool=2	53	1670	594	838	1670	720	950	213	213	0
