contig_id	contig_srt	contig_end	region_id	attributes	gc_count	overlaps	fwd_e2e	rev_e2e	total_reads	fwd_reads	rev_reads	cov150x	cov500x	cov2500x
chr6	31453616	31453837	AMPL3926313	SUBMITTED_REGION=rs144027808;Pool=2	67	0	0	0	0	0	0	0	0	0
chr17	30237134	30237368	AMPL3925991	SUBMITTED_REGION=rs25531;Pool=2	169	1	0	0	1	1	0	0	0	0
chr4	68570364	68570528	AMPL3926512	SUBMITTED_REGION=rs6817882;Pool=1	65	2	0	2	2	0	2	0	0	0
chr17	63488522	63488745	AMPL3697894	SUBMITTED_REGION=rs1799752;Pool=1	115	23	0	0	23	5	18	0	0	0
chr19	40848933	40849146	AMPL3926093	SUBMITTED_REGION=rs114114578;Pool=1	101	31	0	0	35	7	28	0	0	0
chr6	31414341	31414576	AMPL3926201	SUBMITTED_REGION=rs188729361;Pool=1	154	118	30	13	107	61	46	0	0	0
chr22	42129523	42129760	AMPL3926426	SUBMITTED_REGION=CYP2D6cnv44.4.64739,Hs04083572_cn,SP_815.4.124704;Pool=1	160	12540	40	51	261	182	79	228	29	25
chr22	42628117	42628271	AMPL3926510	SUBMITTED_REGION=rs121965006,rs121965008,rs200872504;Pool=1	90	371	140	180	371	176	195	155	0	0
chr6	31448662	31448790	AMPL3925968	SUBMITTED_REGION=rs143527370;Pool=2	31	451	200	205	451	232	219	129	0	0
chr10	94965750	94965820	AMPL3547871	SUBMITTED_REGION=rs4917639;Pool=2	21	546	277	239	546	304	242	71	69	0
chr6	18139546	18139757	AMPL3925990	SUBMITTED_REGION=rs12201199,rs200220210;Pool=1	79	553	13	51	553	159	394	212	0	0
chr15	74745797	74746018	AMPL2649381	SUBMITTED_REGION=rs2069514;Pool=1	109	742	40	188	742	55	687	222	87	0
chr10	114045267	114045502	AMPL3091682	SUBMITTED_REGION=rs1801253;Pool=2	190	836	66	110	836	523	313	236	114	0
chr6	31313669	31313859	AMPL3698522	SUBMITTED_REGION=rs10484555;Pool=2	52	848	360	440	848	380	468	191	191	0
chr19	40940308	40940529	AMPL3926248	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	112	7041	48	520	905	154	751	222	221	4
chr11	108412307	108412528	AMPL3922006	SUBMITTED_REGION=rs11212617;Pool=1	66	959	630	89	959	719	240	222	222	0
chr12	21174760	21174977	AMPL3926354	SUBMITTED_REGION=rs4149036;Pool=1	56	1021	523	435	1021	571	450	218	218	0
chr19	41004065	41004301	AMPL3926466	SUBMITTED_REGION=2B6Ex2F;Pool=2	142	28828	516	4	1087	789	298	237	236	50
chr6	31267268	31267385	AMPL3926517	SUBMITTED_REGION=rs371096447;Pool=2	51	1107	532	452	1107	621	486	118	118	0
chr3	165773418	165773641	AMPL3219749	SUBMITTED_REGION=rs1803274;Pool=2	63	1200	594	500	1200	630	570	224	224	0
chr6	31415731	31415942	AMPL3926476	SUBMITTED_REGION=rs115841246;Pool=2	115	1368	589	564	1368	740	628	212	212	0
chr6	31449951	31450164	AMPL3926349	SUBMITTED_REGION=rs2523694;Pool=1	61	1558	1087	309	1558	1163	395	214	214	0
chr19	40949476	40949666	AMPL3925912	SUBMITTED_REGION=2B7Ex9F;Pool=2	103	4287	450	700	1612	763	849	191	191	60
chr1	97691707	97691927	AMPL2654412	SUBMITTED_REGION=rs1801266;Pool=2	73	1617	469	724	1617	778	839	221	221	0
chr11	64535426	64535576	AMPL3547755	SUBMITTED_REGION=rs11231809;Pool=2	59	1733	809	823	1733	870	863	151	151	0
chr6	31302124	31302331	AMPL3926172	SUBMITTED_REGION=rs12211087;Pool=2	59	1749	389	109	1749	901	848	208	207	0
chr19	41007427	41007642	AMPL3926470	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	102	6306	0	777	1807	11	1796	216	216	25
chr19	41008704	41008870	AMPL3926091	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	55	12847	887	691	1987	1175	812	167	167	113
chr6	30051362	30051574	AMPL3925987	SUBMITTED_REGION=rs259945;Pool=2	53	2127	844	979	2127	1004	1123	213	213	0
chr1	97515750	97515938	AMPL2503449	SUBMITTED_REGION=rs148994843,rs1801158,rs1801159,rs55886062;Pool=2	87	2202	959	1096	2202	1032	1170	189	189	0
chr10	59672789	59673009	AMPL3926295	SUBMITTED_REGION=rs550527563;Pool=2	82	2214	1952	88	2214	2113	101	221	221	0
chr10	94947690	94947896	AMPL3926579	SUBMITTED_REGION=rs72558190,rs774550549;Pool=1	62	9147	842	933	2240	1124	1116	207	207	39
chr13	48045617	48045835	AMPL3698542	SUBMITTED_REGION=rs116855232,rs147390019;Pool=2	86	2254	1008	909	2254	1264	990	219	219	0
chr6	31207057	31207261	AMPL3926668	SUBMITTED_REGION=rs185386680;Pool=2	83	2295	71	0	2295	2290	5	69	57	0
chr1	65610218	65610440	AMPL3926132	SUBMITTED_REGION=rs1805094;Pool=1	62	2383	679	1168	2383	1125	1258	223	223	0
chr19	40940091	40940308	AMPL3926386	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=2	61	3063	3	3	2404	1058	1346	218	218	0
chr1	97098501	97098720	AMPL3658614	SUBMITTED_REGION=rs1801267;Pool=2	73	2461	901	1228	2461	952	1509	220	220	0
chr19	41008039	41008229	AMPL3926088	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	60	9730	735	167	2558	835	1723	191	191	100
chr4	87845025	87845247	AMPL3926503	SUBMITTED_REGION=rs753138805;Pool=2	74	2574	100	2114	2574	349	2225	223	223	0
chr7	117611445	117611622	AMPL3925914	SUBMITTED_REGION=rs150212784,rs397508513;Pool=1	49	12070	1274	1034	2612	1372	1240	178	178	163
chr19	41009567	41009742	AMPL3926221	SUBMITTED_REGION=2B6Ex5;Pool=1	88	15052	881	323	2640	1026	1614	176	176	87
chr8	18400730	18400951	AMPL3926164	SUBMITTED_REGION=rs1208,rs1799931,rs56393504;Pool=2	79	7580	1075	1354	2644	1166	1478	222	222	217
chr12	21130278	21130498	AMPL2649373	SUBMITTED_REGION=rs4149015;Pool=2	67	2725	1310	1009	2725	1405	1320	221	221	198
chr6	31379469	31379697	AMPL3926491	SUBMITTED_REGION=rs190938408;Pool=2	113	2752	0	57	2744	37	2707	192	76	39
chr7	117664659	117664881	AMPL2687211	SUBMITTED_REGION=rs193922525;Pool=1	106	2869	1138	1183	2869	1481	1388	223	223	220
chr7	117508951	117509137	AMPL3926368	SUBMITTED_REGION=rs115545701,rs368505753,rs397508256;Pool=2	63	2963	1469	891	2963	1746	1217	187	187	187
chr1	97740316	97740536	AMPL2878499	SUBMITTED_REGION=rs72549309;Pool=1	70	2990	1323	1350	2990	1531	1459	221	221	221
