contig_id	contig_srt	contig_end	region_id	attributes	gc_count	overlaps	fwd_e2e	rev_e2e	total_reads	fwd_reads	rev_reads	cov150x	cov500x	cov2500x
chr6	31207057	31207261	AMPL3926668	SUBMITTED_REGION=rs185386680;Pool=2	83	0	0	0	0	0	0	0	0	0
chr17	30237134	30237368	AMPL3925991	SUBMITTED_REGION=rs25531;Pool=2	169	3	0	0	3	2	1	0	0	0
chr19	40848933	40849146	AMPL3926093	SUBMITTED_REGION=rs114114578;Pool=1	101	14	0	0	14	2	12	0	0	0
chr6	31414341	31414576	AMPL3926201	SUBMITTED_REGION=rs188729361;Pool=1	154	36	8	13	35	13	22	0	0	0
chr19	41004065	41004301	AMPL3926466	SUBMITTED_REGION=2B6Ex2F;Pool=2	142	15402	27	0	63	53	10	57	50	50
chr22	42129523	42129760	AMPL3926426	SUBMITTED_REGION=CYP2D6cnv44.4.64739,Hs04083572_cn,SP_815.4.124704;Pool=1	160	9092	23	40	126	85	41	29	25	25
chr19	40940308	40940529	AMPL3926248	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	112	5579	12	75	141	32	109	25	16	4
chr22	42628117	42628271	AMPL3926510	SUBMITTED_REGION=rs121965006,rs121965008,rs200872504;Pool=1	90	158	64	66	158	85	73	67	0	0
chr10	114045267	114045502	AMPL3091682	SUBMITTED_REGION=rs1801253;Pool=2	190	323	17	47	323	186	137	209	0	0
chr6	31453616	31453837	AMPL3926313	SUBMITTED_REGION=rs144027808;Pool=2	67	331	2	154	331	3	328	220	0	0
chr6	18139546	18139757	AMPL3925990	SUBMITTED_REGION=rs12201199,rs200220210;Pool=1	79	390	4	14	390	140	250	208	0	0
chr6	31302124	31302331	AMPL3926172	SUBMITTED_REGION=rs12211087;Pool=2	59	396	1	0	396	227	169	167	0	0
chr15	74745797	74746018	AMPL2649381	SUBMITTED_REGION=rs2069514;Pool=1	109	444	28	136	444	43	401	222	0	0
chr6	31267268	31267385	AMPL3926517	SUBMITTED_REGION=rs371096447;Pool=2	51	509	226	173	509	309	200	118	0	0
chr19	41008229	41008448	AMPL3926044	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=2	113	2813	46	361	561	89	472	220	107	0
chr6	31448662	31448790	AMPL3925968	SUBMITTED_REGION=rs143527370;Pool=2	31	600	258	293	600	300	300	129	129	0
chr19	40949476	40949666	AMPL3925912	SUBMITTED_REGION=2B7Ex9F;Pool=2	103	1108	245	350	820	386	434	191	191	0
chr6	31313669	31313859	AMPL3698522	SUBMITTED_REGION=rs10484555;Pool=2	52	821	371	388	821	391	430	191	191	0
chr3	165773418	165773641	AMPL3219749	SUBMITTED_REGION=rs1803274;Pool=2	63	1057	461	495	1057	501	556	224	224	0
chr6	31415731	31415942	AMPL3926476	SUBMITTED_REGION=rs115841246;Pool=2	115	1079	500	416	1079	614	465	212	212	0
chr10	94965750	94965820	AMPL3547871	SUBMITTED_REGION=rs4917639;Pool=2	21	1104	494	544	1104	553	551	71	71	0
chr19	41008441	41008581	AMPL3926440	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	70	9474	1007	58	1143	1062	81	141	141	15
chr1	97515750	97515938	AMPL2503449	SUBMITTED_REGION=rs148994843,rs1801158,rs1801159,rs55886062;Pool=2	87	1176	528	550	1176	576	600	189	189	0
chr11	108412307	108412528	AMPL3922006	SUBMITTED_REGION=rs11212617;Pool=1	66	1291	928	68	1291	1050	241	222	222	0
chr19	41008039	41008229	AMPL3926088	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	60	5657	522	82	1312	608	704	191	191	37
chr12	21174760	21174977	AMPL3926354	SUBMITTED_REGION=rs4149036;Pool=1	56	1418	650	665	1418	716	702	218	218	0
chr19	40940091	40940308	AMPL3926386	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=2	61	1646	3	2	1531	742	789	218	214	0
chr19	41007427	41007642	AMPL3926470	SUBMITTED_REGION=2B7P12B6In4Ex5;Pool=1	102	6213	0	570	1615	11	1604	216	216	25
